symbol,tier,listing_days,r2_btc,beta_btc,realized_vol_annual,kurt_trimmed
CTKUSDT,trend,379,0.23812282246728722,0.9768308805690655,0.8421730262797699,4.278467565932967
CTSIUSDT,trend,566,0.19704042496406232,1.1735417676761812,1.2112969322472278,8.00629453211196
CUSDT,junk,304,0.031992571999564984,0.9038473725611573,2.2132572859049766,22.888339254269834
CVCUSDT,trend,582,0.2816475814982096,0.9531756950844792,0.8193958009643689,4.821140892229027
CVXUSDT,trend,528,0.3637965220781358,1.6584849755796032,1.2271157882405095,4.141873975015355
CYBERUSDT,trend,997,0.22409743048954597,1.299117297767114,1.3053659297221356,4.226306826321889
CYSUSDT,junk,153,1.2626645351436548e-05,-0.01693802869838099,2.3542969573330335,5.359635166674579
DASHUSDT,junk,191,0.20597431381138587,1.400631041139848,1.499539922198377,9.485696474915269
DEEPUSDT,trend,575,0.3335037057775133,2.302469474400093,1.8180495423638945,5.754581473847374
DEXEUSDT,trend,506,0.06674122823805037,0.7007077600224607,1.2078422804382436,5.741153616200619
DIAUSDT,trend,589,0.19929426328136846,1.2046977423090799,1.2262398990223249,9.886799006923109
DOGEUSDT,follower,1093,0.5705070733043328,1.4258948723773568,0.882635738849843,5.292564058841311
DOGSUSDT,trend,626,0.23989053511714648,1.4948621534135333,1.3837415149410865,6.519929869806996
DOLOUSDT,trend,385,0.12397151757378785,1.425557519937225,1.6917813306166203,5.370054304478298
DOODUSDT,trend,370,0.1657528476882961,1.5061376131455775,1.5504553477080845,4.932795135895016
DOTUSDT,trend,1093,0.4213148242273585,1.1356177379920211,0.8180000216777169,4.541062669698803
DRAMUSDT,junk,3,,,,
DRIFTUSDT,trend,552,0.17521896520178817,1.2185671466106192,1.3245534573516908,4.596141602109645
DYDXUSDT,trend,1093,0.3100832218735263,1.2101673062555303,1.0160867775092448,4.296122671641051
DYMUSDT,trend,806,0.20638416794088355,1.2903588064338232,1.3667046139109127,5.291818304631373
EDGEUSDT,junk,44,0.0838440022446001,1.641061180913848,1.8729930160756703,7.496176734322098
EGLDUSDT,trend,1093,0.3811341063523394,1.1389562279612875,0.8625666140473542,4.137527408814538
EIGENUSDT,trend,590,0.35881751495655306,1.7583291534492833,1.3327449577418529,3.9677992951673104
ELSAUSDT,junk,112,0.2856060909088432,1.1384719740009699,1.1686875447329292,5.201426230975995
ENAUSDT,trend,770,0.39909285641648296,1.8028039339341828,1.3299062961029582,3.737110631812392
ENJUSDT,trend,1093,0.2826630315384915,1.187471928285302,1.0442713507120416,5.822434940106062
ENSOUSDT,junk,212,0.018035684768737032,0.6649326185867193,2.356860837988484,12.91568474547466
ENSUSDT,trend,1093,0.3310877176370638,1.3007818076029292,1.056957286939837,6.113063092696599
EPICUSDT,trend,427,0.08846533967194666,1.0433815044610086,1.509831213558632,5.260271156812284
ERAUSDT,junk,301,0.3052354982435965,1.1729993079407284,0.9334504786965214,5.112373698970583
ESPORTSUSDT,junk,290,0.017986784577442457,0.44693174901187754,1.4874957519991923,8.181469449229203
ESPUSDT,junk,91,0.003442955183212441,-0.30815036216203967,2.191707063266347,17.04992176765012
ETCUSDT,trend,1093,0.4789047898999448,1.1127620728032335,0.7517998631363751,5.830071791366325
ETHFIUSDT,trend,783,0.36306180606424426,1.6965553827365656,1.316766528316799,5.792341381033053
ETHUSDT,follower,1093,0.6517190547729056,1.125539017826499,0.6518607968882308,5.4228925387831906
ETHWUSDT,trend,581,0.3933379609140571,1.4990890671992068,1.0913632279521517,7.061361201037722
ETNUSDT,junk,1,,,,
EULUSDT,junk,212,0.26901331715570137,1.465065857058611,1.3445992902097503,5.475572990770361
EWHUSDT,junk,35,0.03389036572929603,0.19416052082026927,0.3428918355416719,4.154052722505852
EWJUSDT,junk,58,0.2859312675204028,0.45007659984781606,0.30910187951247914,5.585042664147367
EWTUSDT,junk,50,0.19652987447907355,0.39122297502929504,0.3075520690438413,2.879373096575967
EWYUSDT,junk,58,0.1800538611902257,0.6965532370355266,0.6028359339746056,4.21508444630476
FARTCOINUSDT,trend,509,0.3477351936885395,2.634574998180615,1.9910826790763816,4.942103254022279
FETUSDT,trend,1093,0.35524320784008295,1.4824134260094581,1.1628694628554366,3.9156490827689368
FFUSDT,junk,227,0.10430726553557328,0.9697089468633049,1.4375779314382553,9.883019547770992
FIDAUSDT,trend,602,0.33242881847183803,1.4454989111759835,1.1345002850691812,5.143815789602421
FIGHTUSDT,junk,111,0.01909940659412568,0.4765429039445365,1.9002642781150902,3.929534189283311
FILUSDT,trend,1093,0.32423820401114134,1.2314516279219936,1.0111364876156055,4.7423057010489345
FLOCKUSDT,junk,261,0.15303219660575088,1.1058208980762638,1.2904255969812057,4.403801803855144
FLOKIUSDT,trend,1093,0.35818009495103126,1.64480393376244,1.2849550343482172,5.480841616205262
FLUIDUSDT,junk,232,0.38395860797247516,1.4063351434853417,1.083967694342589,5.356698900127073
FLUXUSDT,trend,617,0.22818512654438558,1.3204136958943702,1.2517508437711387,3.5819183144145823
FLYUSDT,junk,29,,,,
FOGOUSDT,junk,119,0.18333492736767293,0.879505976051288,1.1075207577812123,3.7903414369087667
FOLKSUSDT,junk,189,0.026199912899520686,0.9097596554657348,2.732513888342515,8.74060280132693
FORMUSDT,trend,421,0.1673211078614433,1.2825295843694817,1.3441760889785217,9.13224096248611
FRAXUSDT,junk,119,0.04222877236653834,0.5286593852199666,1.3870988252170815,7.67663933961429
FUSDT,junk,330,0.08608918654947374,1.3268276791708662,1.9435681682071313,15.8128010487647
FUTUUSDT,junk,198,0.13196856459609485,0.3681411004685866,0.4922033259938496,5.747245048434441
GALAUSDT,trend,1093,0.3893642387342665,1.4171469452611414,1.0618456012593225,4.101914795658143
GASUSDT,trend,664,0.27583123960599143,0.9975880680336741,0.8824568420994686,7.7282448772505115
GENIUSUSDT,junk,28,,,,
GEUSDT,junk,247,0.06913436929685733,0.18847897033062366,0.3338078708960005,4.249093832804942
GIGGLEUSDT,junk,210,0.060250931924081985,1.7613659755414366,3.4211010154220554,44.47462331876886
GLMUSDT,trend,744,0.2556517881967714,0.9926174829524496,0.913213002225563,4.318031869213038
GMEUSDT,junk,246,0.06269633354593696,0.24808624073427288,0.4615060383928195,6.254029169021806
GMTUSDT,trend,1093,0.3189772792399566,1.1814863725244424,0.9780777063076058,4.485170080428647
