feature,quantile,horizon,n,mean,median,win,std
vs_72h_low_pct,"(0.12, 0.164]",fwd_ret_4h,1263,0.0013267135567788162,-0.0003066896683917575,0.49564528899445764,0.03353877225193192
vs_72h_low_pct,"(0.12, 0.164]",fwd_ret_24h,1262,0.0022211371613220982,-0.004027793736946339,0.4683042789223455,0.07918992844671231
vs_72h_low_pct,"(0.12, 0.164]",fwd_ret_72h,1260,0.0029699158231230173,-0.011117745693219216,0.4531746031746032,0.13267576028387856
vs_72h_low_pct,"(0.12, 0.164]",fwd_ret_168h,1246,0.00895924895910064,-0.014827003069504574,0.45425361155698235,0.206427628548008
vs_72h_low_pct,"(0.12, 0.164]",fwd_ret_336h,1208,0.03371148739456016,-0.027426307244494685,0.4420529801324503,0.3400992788345831
vs_72h_low_pct,"(0.12, 0.164]",fwd_ret_672h,1177,0.04271689613476101,-0.05608422091540899,0.40611724723874254,0.5485617179565819
vs_72h_low_pct,"(0.164, 0.216]",fwd_ret_4h,1262,6.426236064246904e-05,-0.0004464746427162436,0.48811410459587956,0.03356458415412502
vs_72h_low_pct,"(0.164, 0.216]",fwd_ret_24h,1261,-0.00034695401495978977,-0.010388611004232495,0.42664551942902457,0.08701246182852591
vs_72h_low_pct,"(0.164, 0.216]",fwd_ret_72h,1261,0.002311089325818449,-0.019967620075553083,0.422680412371134,0.14278001939877671
vs_72h_low_pct,"(0.164, 0.216]",fwd_ret_168h,1248,-0.000865236916381634,-0.035124687242094554,0.41586538461538464,0.2184512308171928
vs_72h_low_pct,"(0.164, 0.216]",fwd_ret_336h,1220,0.027678524034263005,-0.04691158322923655,0.4336065573770492,0.34922294853185504
vs_72h_low_pct,"(0.164, 0.216]",fwd_ret_672h,1172,0.04008830412381112,-0.07957448802253614,0.3993174061433447,0.5242200895160486
vs_72h_low_pct,"(0.216, 0.313]",fwd_ret_4h,1263,0.002338295691638826,-0.0012932428063368029,0.48139350752177357,0.05265031780710616
vs_72h_low_pct,"(0.216, 0.313]",fwd_ret_24h,1261,0.0008474102789951408,-0.012607830126078245,0.4218873909595559,0.10203460724044901
vs_72h_low_pct,"(0.216, 0.313]",fwd_ret_72h,1259,0.005560647577658483,-0.015507011866235154,0.43367752184273234,0.16854318270842003
vs_72h_low_pct,"(0.216, 0.313]",fwd_ret_168h,1247,0.021703738229563285,-0.033522434244456,0.43464314354450684,0.26112715002359504
vs_72h_low_pct,"(0.216, 0.313]",fwd_ret_336h,1211,0.05783846128900356,-0.03566756032171581,0.4434351775392238,0.4350128946947812
vs_72h_low_pct,"(0.216, 0.313]",fwd_ret_672h,1164,0.0421685015792365,-0.0890868398771581,0.39347079037800686,0.6268707889000502
vs_72h_low_pct,"(0.313, 9.113]",fwd_ret_4h,1264,0.0006230192382461921,-0.0015167861932883775,0.4778481012658228,0.07076187987706964
vs_72h_low_pct,"(0.313, 9.113]",fwd_ret_24h,1263,-0.008898161323023516,-0.019874804381846523,0.40380047505938244,0.13572303890812473
vs_72h_low_pct,"(0.313, 9.113]",fwd_ret_72h,1261,-0.009906549468938963,-0.03811410769451362,0.38144329896907214,0.22075031117524546
vs_72h_low_pct,"(0.313, 9.113]",fwd_ret_168h,1244,-0.006221826804190132,-0.04975664540991026,0.39147909967845657,0.2979012241008998
vs_72h_low_pct,"(0.313, 9.113]",fwd_ret_336h,1207,0.008309051116333606,-0.07742967353466934,0.37696768848384427,0.40560881178780084
vs_72h_low_pct,"(0.313, 9.113]",fwd_ret_672h,1153,0.007738771266882804,-0.13601265822784814,0.33564614050303554,0.6838648624593074
pre_24h_range_pct,"(0.00379, 0.0624]",fwd_ret_4h,1264,-0.0001468834362469807,-0.0005925345387920444,0.4778481012658228,0.027854312702687345
pre_24h_range_pct,"(0.00379, 0.0624]",fwd_ret_24h,1261,-0.004275731212191424,-0.0051561579257513035,0.44805709754163364,0.06270785890825332
pre_24h_range_pct,"(0.00379, 0.0624]",fwd_ret_72h,1261,-0.005228641120014806,-0.013231653529863663,0.4417129262490087,0.1042601520619084
pre_24h_range_pct,"(0.00379, 0.0624]",fwd_ret_168h,1248,-0.00406941605545046,-0.024552444543296637,0.4182692307692308,0.1863544630211538
pre_24h_range_pct,"(0.00379, 0.0624]",fwd_ret_336h,1185,0.016746280623781803,-0.032743362831858414,0.4278481012658228,0.3102234883078703
pre_24h_range_pct,"(0.00379, 0.0624]",fwd_ret_672h,1136,0.029931307106969524,-0.04890814100933155,0.41725352112676056,0.4538087594180602
pre_24h_range_pct,"(0.0624, 0.0831]",fwd_ret_4h,1262,-0.0010992090603612681,-0.0013240635133744405,0.4762282091917591,0.03528167319812032
pre_24h_range_pct,"(0.0624, 0.0831]",fwd_ret_24h,1261,0.0003905038226989453,-0.00835515650330454,0.43061062648691517,0.08766317653140271
pre_24h_range_pct,"(0.0624, 0.0831]",fwd_ret_72h,1258,0.0027860495748010506,-0.019624878614246277,0.42527821939586646,0.15411149923322226
