body_ret_min,vol_ratio_min,pullback_timeout_h,h,n,mean,median,win,std
0.05,3.0,24,72,1750,-0.014789886302223349,-0.03690586089845821,0.38057142857142856,0.206706268695825
0.05,3.0,24,168,1700,-0.03284274043264213,-0.0723149727073174,0.33705882352941174,0.2654034900769015
0.05,3.0,24,336,1607,-0.02912085103533994,-0.09561128526645757,0.3254511512134412,0.3914665320811963
0.05,3.0,24,672,1467,-0.03105135026566642,-0.15827748467132463,0.28084526244035446,0.7438412148331142
0.05,5.0,12,4,1167,-0.0023729983395528492,-0.0031418312387792025,0.45758354755784064,0.06425249691907374
0.05,5.0,12,12,1166,-0.005853051901249772,-0.013578459862492454,0.40051457975986277,0.11883369228103481
0.05,5.0,12,24,1164,-0.01248440808536591,-0.01821541251920994,0.38831615120274915,0.12385976063391371
0.05,5.0,12,72,1163,-0.018282275795140825,-0.03853325046612788,0.36715391229578676,0.19521603540988994
0.05,5.0,12,168,1132,-0.027802398289728743,-0.07043543781725892,0.33480565371024734,0.2649786841701463
0.05,5.0,12,336,1073,-0.029177552749776976,-0.09428602643941875,0.3196644920782852,0.39608125411664225
0.05,5.0,12,672,975,-0.03648246923621535,-0.1464627151051625,0.28512820512820514,0.6887118804716587
0.05,5.0,24,4,1297,-0.001485876362401759,-0.0020868448511117688,0.46491904394757133,0.06438523323449605
0.05,5.0,24,12,1296,-0.004394093497854638,-0.012187138903962391,0.4104938271604938,0.11816046066271922
0.05,5.0,24,24,1294,-0.009742971014631334,-0.016479440264435152,0.3948995363214838,0.12700742224782025
0.05,5.0,24,72,1293,-0.017191653659200248,-0.03851351351351362,0.37122969837587005,0.19674674815278806
0.05,5.0,24,168,1256,-0.029465372354995908,-0.07009170802102677,0.33837579617834396,0.2595818578806496
0.05,5.0,24,336,1184,-0.028336344521052787,-0.09463592338947885,0.32263513513513514,0.39211875414901887
0.05,5.0,24,672,1078,-0.03968227706248217,-0.1465815711939802,0.2857142857142857,0.6646529150790663
0.05,10.0,12,4,640,-0.004279109702115225,-0.004356182845885348,0.4375,0.05993893519287063
0.05,10.0,12,12,639,-0.007829382832021415,-0.015807301467820833,0.37089201877934275,0.1344539640188231
0.05,10.0,12,24,638,-0.017500549709944305,-0.02319469702061261,0.36363636363636365,0.11997792245916217
0.05,10.0,12,72,637,-0.026215238743197374,-0.05219322598556375,0.31868131868131866,0.20333370828360964
0.05,10.0,12,168,626,-0.03489793940269544,-0.07243080824999631,0.31309904153354634,0.25912573204099265
0.05,10.0,12,336,590,-0.039412217148544954,-0.09631518933019156,0.3050847457627119,0.33941230791939675
0.05,10.0,12,672,538,-0.06353070537627392,-0.1465815711939802,0.27137546468401486,0.5473026094823019
0.05,10.0,24,4,715,-0.00314976480620104,-0.0037580312765183033,0.44755244755244755,0.06060302544456144
0.05,10.0,24,12,714,-0.006106230172881033,-0.014751284545527155,0.3851540616246499,0.13286418935223904
0.05,10.0,24,24,713,-0.013257186459078672,-0.01914134313831506,0.3744740532959327,0.1255826930595105
0.05,10.0,24,72,712,-0.02455011477281963,-0.051729122966154506,0.3258426966292135,0.203541515796055
0.05,10.0,24,168,698,-0.036343976980993356,-0.07043543781725892,0.3166189111747851,0.25273756354325466
0.05,10.0,24,336,656,-0.039136775701449765,-0.09879014641468853,0.3079268292682927,0.34040503506103637
0.05,10.0,24,672,598,-0.06546880266257801,-0.14686598358574032,0.2709030100334448,0.5333099051334056
0.07,3.0,12,4,979,-0.004016929869268006,-0.005082352941176538,0.43615934627170583,0.06872043259275305
0.07,3.0,12,12,978,-0.010490927952347214,-0.017771796865033218,0.37116564417177916,0.13385574516512416
0.07,3.0,12,24,976,-0.02102889327148766,-0.028852085725866172,0.35348360655737704,0.13325772549869086
0.07,3.0,12,72,972,-0.021795045950285332,-0.05206233312580827,0.3477366255144033,0.2258682511159714
0.07,3.0,12,168,945,-0.038374426000977284,-0.08730158730158721,0.3037037037037037,0.2899022734598425
0.07,3.0,12,336,902,-0.03683639914099368,-0.11102147166398385,0.29379157427937913,0.43024667869251726
0.07,3.0,12,672,820,-0.03009514870044751,-0.17794116897917012,0.25853658536585367,0.8057733138426066
0.07,3.0,24,4,1086,-0.002981010695414023,-0.0039042825364829503,0.45027624309392267,0.06948735735373639
0.07,3.0,24,12,1085,-0.008666664218031143,-0.017026451809060705,0.3824884792626728,0.1331096761822591
0.07,3.0,24,24,1083,-0.017468254829940428,-0.02559169612097889,0.3619575253924284,0.13761378158433438
0.07,3.0,24,72,1079,-0.019895019449099063,-0.05161290322580636,0.35495829471733087,0.22691005749158427
0.07,3.0,24,168,1049,-0.040846501317712364,-0.0873680378594831,0.3069590085795996,0.2843599500003562
0.07,3.0,24,336,998,-0.03701455839728437,-0.11185990316809691,0.2955911823647295,0.4259105527420205
0.07,3.0,24,672,909,-0.039222022186759464,-0.17958753575191921,0.25742574257425743,0.7737271102096128
