lookback_N,threshold_X,hold_H,count,win_rate,mean_short,mean_capped,median_short,p25,p75,std,sharpe_like
10,0.5,10,5142,0.5682613768961493,-0.0424582328656179,-0.021064066180271863,0.044444371756309164,-0.15970769095523074,0.18912905005989641,0.441974718994791,-0.09606484498068837
10,0.5,20,5000,0.6038,-0.06286183574971552,-0.0023577483019274806,0.0902621218234676,-0.18260049822429947,0.2670701310420974,0.6492598550480077,-0.09682076484625309
10,0.5,40,4715,0.6774125132555673,-0.02246488250908825,0.07518679177878441,0.17400530503978773,-0.12083473228798958,0.37675024356123066,0.950820188241743,-0.02362684636579953
10,0.5,60,4553,0.6841642872831101,-0.009993434769738395,0.09636263334893537,0.20720984759671746,-0.10922310596930984,0.42807737397420864,1.0601404523896796,-0.009426519615596249
10,1.0,5,1169,0.611633875106929,-0.02021612655918586,0.014343356054475693,0.05760064089725614,-0.10872505918160291,0.2058473867288978,0.6127833077798757,-0.03299066130314357
10,1.0,10,1166,0.5969125214408233,-0.019285873491292245,0.0063549426539642314,0.07628334420562616,-0.16586467727468757,0.2599190191416889,0.48884246707772055,-0.03945212372112917
10,1.0,20,1126,0.6376554174067496,-0.048262751339553635,0.033830608351804715,0.14686723783851013,-0.19032230710888565,0.3481778430366431,0.7630718154052991,-0.06324798055071564
10,1.0,40,1044,0.735632183908046,0.042610014033001,0.1541285224287357,0.258488234933981,-0.04300897274759874,0.47079834246951074,1.0102552380202074,0.04217747399805979
10,1.0,60,999,0.7457457457457457,0.0776147763603664,0.17631988876647336,0.30303452115812923,-0.007848966464068852,0.5197795062756743,0.952160841577954,0.08151435447790575
10,2.0,5,188,0.5904255319148937,-0.09989040205000423,0.038995235048513245,0.07323914268248027,-0.1766773707429935,0.25368042722611517,1.278098862487638,-0.07815545806494323
10,2.0,10,188,0.5904255319148937,0.05582568561336029,0.0704543036259288,0.0765137131275343,-0.18073297534875904,0.32875986770269783,0.5231813945449086,0.10670426394256716
10,2.0,20,177,0.6101694915254238,-0.014741297328441,0.059179572583739834,0.15973524935405092,-0.31665120984739903,0.4437012263099219,0.7648257067996191,-0.019274061001591247
10,2.0,40,159,0.7547169811320755,0.17194371659658927,0.2296768355701458,0.34264485061875416,0.021946639554264347,0.5378071779537124,0.6861281887974439,0.25059998904570563
10,2.0,60,145,0.696551724137931,0.09460869126129666,0.18120973875431784,0.26436841898217955,-0.19498359759431394,0.5594192492652952,0.7739935540785929,0.12223446921844765
20,0.2,5,42930,0.5585837409736781,-0.0077313484455288845,-0.0034239262471058214,0.021533239646651436,-0.08126606192730651,0.11378637191420471,0.3246394350219743,-0.023815185746012536
20,0.2,10,42718,0.5724518938152535,-0.014093142761354342,-0.0067306886110654615,0.03501306911861046,-0.10770111407355981,0.14958923024779525,0.2984158451860331,-0.04722652295010892
20,0.2,20,41791,0.6008710009332153,-0.020856629646897298,0.00026454264827591536,0.05676620930858223,-0.11613134151066207,0.1949025202027807,0.4373474525757275,-0.04768892450170596
20,0.2,40,39502,0.6656624981013619,0.011640215901675969,0.05387402612617394,0.1279104454638974,-0.09607602568183937,0.2926837659742776,0.6902210456833675,0.01686447548140369
20,0.2,60,38778,0.6583372015060086,0.014355412955113262,0.06408840257419313,0.14411894731367353,-0.12110039821920876,0.3375887287807552,0.7564610168226815,0.018977069056921737
20,0.3,5,26465,0.560173814471944,-0.008487341862391178,-0.00396527811119698,0.02399624229056896,-0.08982736759972698,0.1231478892927036,0.25715280498694265,-0.033005052629397284
20,0.3,10,26326,0.5759325381751881,-0.01742204841735433,-0.0076856376088730895,0.039676348204159495,-0.11604258447897609,0.1612760563150643,0.3295060259383656,-0.05287323158276062
20,0.3,20,25782,0.6055775347141417,-0.02333824893089411,0.0038555577393266753,0.06500578983176442,-0.1207860265079117,0.21345469165478884,0.483099069166779,-0.04830944711018913
20,0.3,40,24470,0.674908050674295,0.010060922819322879,0.0644672398939137,0.1436887188310002,-0.08769918880026267,0.3122927269412707,0.7830916694230553,0.012847694864044829
20,0.3,60,23966,0.6665275807393808,0.018058875006710468,0.07789932112501544,0.16405969757270555,-0.11638575629758874,0.3623627860352998,0.813698383164533,0.022193573663595312
20,0.5,5,12052,0.5671257882509128,-0.015635703244707415,-0.00727118480586156,0.02985350186566471,-0.10161727849475594,0.1372207841186201,0.3192193056996148,-0.04898107027217396
