Symbol,entry_date,entry_close,exit_date,exit_close,bars_held,ret_pct,exit_reason,Name,entry_month
090460,2025-12-02,17690,2025-12-16,18250,10,3.165630299604305,TIMEOUT,비에이치,2025-12
090460,2026-02-02,17600,2026-02-06,17000,4,-3.409090909090906,STOP,비에이치,2026-02
090460,2026-03-23,23000,2026-04-06,22200,10,-3.4782608695652195,TIMEOUT,비에이치,2026-03
090460,2026-04-08,22400,2026-04-10,23350,2,4.241071428571419,T_star,비에이치,2026-04
090460,2026-05-14,37500,2026-05-15,33150,1,-11.6,STOP,비에이치,2026-05
090460,2026-05-26,40200,2026-05-28,32150,2,-20.024875621890548,STOP,비에이치,2026-05
092200,2025-10-20,5220,2025-10-30,4745,8,-9.099616858237546,STOP,디아이씨,2025-10
092200,2025-11-25,6760,2025-11-27,7310,2,8.136094674556205,T_star,디아이씨,2025-11
092200,2025-12-30,14420,2026-01-06,12500,3,-13.314840499306523,STOP,디아이씨,2025-12
092200,2026-01-07,12800,2026-01-08,11920,1,-6.874999999999998,STOP,디아이씨,2026-01
092200,2026-01-13,12950,2026-01-14,12150,1,-6.177606177606176,STOP,디아이씨,2026-01
092220,2025-10-20,4215,2025-10-21,4150,1,-1.542111506524313,STOP,KEC,2025-10
092220,2025-12-11,3585,2025-12-15,3460,2,-3.4867503486750384,STOP,KEC,2025-12
092220,2026-03-24,8945,2026-04-06,7475,9,-16.433761878144214,STOP,KEC,2026-03
092220,2026-04-27,9190,2026-05-13,9190,10,0.0,TIMEOUT,KEC,2026-04
092230,2025-09-08,67600,2025-09-22,68900,10,1.9230769230769162,TIMEOUT,KPX홀딩스,2025-09
092230,2025-12-24,75500,2025-12-26,74500,1,-1.3245033112582738,STOP,KPX홀딩스,2025-12
092230,2026-01-26,73800,2026-02-09,76700,10,3.9295392953929476,TIMEOUT,KPX홀딩스,2026-01
092230,2026-03-25,81700,2026-03-31,78300,4,-4.161566707466335,STOP,KPX홀딩스,2026-03
092230,2026-04-03,81600,2026-04-17,86800,10,6.372549019607843,TIMEOUT,KPX홀딩스,2026-04
092440,2025-09-09,2520,2025-09-23,2525,10,0.1984126984126977,STOP,기신정기,2025-09
092440,2026-03-26,2290,2026-03-30,2250,2,-1.7467248908296984,STOP,기신정기,2026-03
092780,2026-02-04,5810,2026-02-05,5270,1,-9.294320137693635,STOP,DYP,2026-02
092780,2026-04-16,4855,2026-04-30,5070,10,4.4284243048403615,TIMEOUT,DYP,2026-04
092790,2026-03-19,12030,2026-03-26,11520,5,-4.2394014962593545,STOP,넥스틸,2026-03
092790,2026-04-02,12290,2026-04-06,14990,2,21.969080553295363,T_star,넥스틸,2026-04
092790,2026-05-18,18930,2026-05-19,19760,1,4.384574749075543,T_star,넥스틸,2026-05
093050,2026-03-24,22800,2026-04-07,24500,10,7.456140350877183,TIMEOUT,LF,2026-03
093050,2026-04-22,25500,2026-04-30,24800,6,-2.7450980392156876,STOP,LF,2026-04
093050,2026-05-07,25400,2026-05-08,24850,1,-2.1653543307086576,STOP,LF,2026-05
093240,2026-01-19,1648,2026-01-20,1514,1,-8.131067961165051,STOP,형지엘리트,2026-01
093370,2025-09-19,6230,2025-09-26,5830,5,-6.42054574638844,STOP,후성,2025-09
093370,2025-10-02,6060,2025-10-14,6050,3,-0.16501650165016146,STOP,후성,2025-10
093370,2025-10-20,7010,2025-11-03,9200,10,31.241084165477883,TIMEOUT,후성,2025-10
093370,2026-01-23,7730,2026-02-06,7980,10,3.2341526520051733,TIMEOUT,후성,2026-01
093370,2026-05-14,13620,2026-05-15,11820,1,-13.215859030837008,STOP,후성,2026-05
093370,2026-06-11,15670,2026-06-12,19010,1,21.314613911933634,T_star,후성,2026-06
094280,2025-09-12,13200,2025-09-24,12890,8,-2.348484848484844,STOP,효성ITX,2025-09
094280,2025-09-25,13000,2025-09-26,12870,1,-1.0000000000000009,STOP,효성ITX,2025-09
094800,2025-10-28,5200,2025-10-30,5210,2,0.19230769230769162,STOP,맵스리얼티,2025-10
094800,2025-11-20,5280,2025-12-04,5320,10,0.7575757575757569,TIMEOUT,맵스리얼티,2025-11
094800,2025-12-03,5280,2025-12-11,5250,6,-0.5681818181818232,STOP,맵스리얼티,2025-12
094800,2026-01-20,5230,2026-02-03,5770,10,10.325047801147225,TIMEOUT,맵스리얼티,2026-01
094800,2026-03-17,6820,2026-03-19,6660,2,-2.346041055718473,STOP,맵스리얼티,2026-03
094800,2026-03-20,6900,2026-03-23,6690,1,-3.04347826086957,STOP,맵스리얼티,2026-03
