symbol,score,verdict,s_1m,s_1w,s_1d,m_1w,m_1d,v_1w,acc_w,acc_d,ret_30d,ret_90d,last_close,dist_ma10,dist_ma20,risk_flags,cut,Name,Marcap
034020,20.0,skip,A1,A3,B2,pullback_ma20,breaking,normal,0.0,0.0,0.103,0.333,111600.0,-0.023,-0.08,,False,두산에너빌리티,72511521727200
001500,20.0,skip,A2,A3,A5,pullback_ma20,breaking,distribution_suspect,0.0,0.0,-0.009,0.36,10730.0,-0.018,-0.051,"drawdown_deep,distribution_suspect",False,현대차증권,654193605520
010690,20.0,watch,A3,A3,B1,pullback_ma10,breaking,normal,0.0,0.0,0.084,0.622,12730.0,-0.036,-0.01,drawdown_deep,False,화신,442790798800
338100,20.0,watch,B3,B3,B2,riding,breaking,normal,0.0,0.0,-0.025,0.042,4585.0,0.013,-0.012,,False,NH프라임리츠,84063300000
37550L,20.0,watch,A2,A2,A4,pullback_ma10,breaking,normal,0.0,0.0,-0.121,0.664,50000.0,0.019,-0.068,parabolic,False,DL이앤씨2우(전환),105808745100
003830,20.0,watch,B3,B3,B3,pullback_ma20,pullback_ma10,normal,0.0,0.0,-0.045,0.005,115500.0,-0.021,-0.035,,False,대한화섬,150728000000
267270,20.0,skip,A2,A3,B2,pullback_ma10,breaking,normal,0.0,0.0,0.032,0.604,166000.0,-0.01,-0.074,,False,HD건설기계,7935866143200
071050,20.0,skip,A2,A3,B2,pullback_ma10,breaking,normal,0.0,0.0,0.065,0.536,254500.0,0.017,-0.007,parabolic,False,한국금융지주,14070812980000
001720,20.0,skip,A2,A4,B2,breaking,riding,distribution_suspect,0.0,0.0,-0.112,0.426,185100.0,0.008,-0.044,"drawdown_deep,parabolic",False,신영증권,3043044000000
004800,20.0,watch,A2,A2,A4,pullback_ma10,pullback_ma50,distribution_suspect,0.0,0.0,0.453,0.881,221000.0,-0.034,-0.023,"drawdown_deep,parabolic",False,효성,3691259743500
030200,20.0,skip,A2,A3,B2,pullback_ma10,breaking,normal,0.0,0.0,-0.085,0.084,55800.0,-0.036,-0.057,,False,KT,13886394843500
241560,20.0,watch,A2,A3,B2,pullback_ma20,breaking,normal,0.0,0.0,0.039,0.201,68800.0,-0.004,-0.043,,False,두산밥캣,6614068485000
357120,20.0,watch,B3,B3,B3,pullback_ma50,pullback_ma10,normal,0.0,0.0,-0.037,-0.001,4440.0,0.007,-0.022,,False,코람코라이프인프라리츠,437522416230
069260,20.0,watch,B3,B3,B3,pullback_ma10,pullback_ma10,normal,0.0,0.0,0.006,-0.047,17700.0,0.02,-0.007,,False,TKG휴켐스,716192861760
034310,20.0,watch,B3,B3,B3,pullback_ma10,pullback_ma10,normal,0.0,0.0,-0.034,0.033,13160.0,-0.009,-0.04,,False,NICE,467918608610
032640,19.4,watch,A1,B4,B2,pullback_ma50,breaking,normal,0.0,0.3,-0.023,0.098,15760.0,0.003,-0.006,,False,LG유플러스,6645146368300
122900,19.4,watch,B3,B3,B3,pullback_ma10,pullback_ma10,normal,0.0,0.3,-0.008,-0.045,7390.0,0.002,-0.013,drawdown_deep,False,아이마켓코리아,242693378400
032830,19.0,pass,A1,A2,A2,riding,pullback_ma10,normal,0.0,0.0,0.528,1.29,364500.0,0.136,0.242,,False,삼성생명,70100000000000
047810,19.0,skip,A2,A4,B2,pullback_ma20,breaking,normal,0.0,0.0,-0.116,0.179,168400.0,0.021,-0.002,parabolic,False,한국항공우주,16658495786300
033780,19.0,pass,A2,A2,A2,riding,pullback_ma20,normal,0.0,0.0,0.186,0.319,188000.0,0.039,0.05,,False,KT&G,18945408220000
136490,19.0,watch,B4,B3,B3,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.041,0.179,10720.0,-0.002,-0.013,drawdown_deep,False,선진,242076368720
