asset,symbol,entry_dt,entry_close,+1w_%,+2w_%,+3w_%,+4w_%,+5w_%,+6w_%,+7w_%,+8w_%
crypto,GALAUSDT,2023-11-20,0.02719,-1.8,27.1,9.3,13.8,11.7,-9.3,-7.2,-11.6
crypto,GALAUSDT,2025-08-04,0.0177,-2.6,1.5,-9.0,-8.2,-1.4,-2.6,-15.6,-11.2
crypto,GMTUSDT,2024-11-18,0.21763,3.6,12.6,-9.6,-39.3,-22.3,-24.8,-36.7,-49.9
crypto,GMXUSDT,2025-08-04,18.09,-12.9,-15.1,-19.3,-20.9,-16.3,-13.8,-9.8,-18.4
crypto,GMXUSDT,2025-08-18,15.35,-5.0,-6.8,-1.4,1.6,6.3,-3.8,-25.0,-31.6
crypto,GMXUSDT,2025-09-15,15.6,4.6,-5.4,-26.2,-32.6,-32.1,-37.3,-34.4,-45.8
crypto,GRTUSDT,2025-08-04,0.09926,-5.3,-5.2,-10.9,-10.4,-2.9,-7.1,-16.7,-16.4
crypto,ICPUSDT,2023-10-23,4.03,0.8,16.0,13.7,15.5,17.0,38.5,161.2,143.3
crypto,ICPUSDT,2025-07-21,5.805,-11.8,-3.0,-5.7,-9.2,-18.1,-16.9,-16.4,-18.9
crypto,ICPUSDT,2025-11-03,7.554,-36.6,-46.4,-49.4,-54.7,-59.4,-59.6,-59.8,-56.7
crypto,ICPUSDT,2026-05-04,3.37,2.0,,,,,,,
crypto,IMXUSDT,2025-08-04,0.5979,-2.3,-2.8,-15.0,-13.7,8.1,29.1,33.0,24.7
crypto,IOSTUSDT,2024-11-18,0.007453,21.8,40.0,16.7,-11.6,-11.4,-1.7,-1.5,-14.3
crypto,IOSTUSDT,2025-07-21,0.004268,-16.1,-11.2,-15.8,-16.1,-23.5,-23.4,-21.2,-23.1
crypto,IOTAUSDT,2024-11-18,0.2359,30.8,100.5,69.2,23.3,23.4,51.9,39.1,37.9
crypto,IOTAUSDT,2025-08-04,0.2069,0.9,-1.8,-8.6,-10.2,-6.1,-11.0,-19.3,-9.1
crypto,IOTXUSDT,2025-06-23,0.02153,-0.8,2.2,17.0,10.3,33.3,37.3,33.2,31.8
crypto,JASMYUSDT,2026-05-04,0.007259,-2.3,,,,,,,
crypto,JOEUSDT,2025-08-25,0.1857,-15.3,-8.1,0.0,-11.3,-13.7,-33.9,-36.9,-35.1
crypto,JTOUSDT,2026-04-27,0.3913,30.2,28.6,,,,,,
crypto,JUPUSDT,2026-05-04,0.2645,-3.7,,,,,,,
crypto,KAIAUSDT,2025-06-16,0.1884,-8.9,-18.5,-17.0,-7.8,-9.8,-26.6,-20.4,-17.0
crypto,KAVAUSDT,2024-11-11,0.4488,18.6,36.2,59.1,26.8,-4.9,4.3,24.4,7.6
crypto,KAVAUSDT,2025-05-05,0.487,-13.8,-13.3,-14.9,-7.7,-12.0,-16.7,-16.1,-18.9
crypto,KAVAUSDT,2025-06-02,0.4494,-4.6,-9.8,-9.1,-12.1,-3.9,-3.9,-10.1,-13.2
crypto,KNCUSDT,2024-03-04,0.9083,-1.9,-7.6,-1.4,-16.7,-36.1,-32.9,-34.6,-34.0
crypto,KNCUSDT,2024-11-18,0.6283,14.6,35.1,9.9,-15.7,-13.8,-0.6,0.8,-14.4
crypto,KNCUSDT,2025-07-07,0.4938,-6.6,-10.2,-14.4,-10.1,-16.7,-18.7,-22.4,-25.2
crypto,KSMUSDT,2023-11-27,25.62,25.4,14.5,101.6,76.2,47.3,58.5,53.3,50.6
crypto,KSMUSDT,2025-08-18,15.97,-3.4,-3.9,-0.8,-3.5,-8.2,-6.0,-27.3,-31.5
crypto,LDOUSDT,2025-07-21,1.1417,-19.5,26.3,19.7,25.7,4.3,5.1,7.9,9.3
crypto,LDOUSDT,2025-08-04,1.4418,-5.2,-0.5,-17.4,-16.8,-14.6,-13.5,-22.5,-19.3
crypto,LINKUSDT,2023-07-17,7.889,-4.3,-10.0,-6.7,-21.2,-23.7,-23.7,-23.8,-22.2
crypto,LINKUSDT,2023-09-18,6.967,15.6,10.0,6.5,46.1,59.0,75.4,130.0,114.0
crypto,LINKUSDT,2025-07-14,19.293,-0.3,-15.6,14.4,33.0,34.0,20.3,16.5,24.9
crypto,LQTYUSDT,2025-06-23,1.4814,-15.2,-26.1,-9.5,-21.5,-37.8,-29.2,-36.0,-38.8
crypto,LTCUSDT,2023-06-26,113.54,-16.3,-18.3,-18.0,-17.2,-27.3,-27.9,-42.6,-42.4
crypto,LTCUSDT,2023-07-17,93.11,0.9,-11.4,-12.1,-30.0,-29.8,-31.4,-34.4,-31.8
crypto,LTCUSDT,2024-11-04,76.65,13.8,26.6,56.3,76.0,58.0,30.1,28.5,50.8
crypto,LUNAUSDT,2024-11-18,0.5102,13.2,40.3,8.1,-21.0,-16.6,0.5,-20.1,-31.2
crypto,LUNCUSDT,2025-07-21,6.4e-05,-8.7,-2.4,-4.4,-5.2,-8.8,-7.1,-6.2,-7.6
crypto,LUNCUSDT,2026-02-23,4.3e-05,-2.7,-2.1,-13.2,-15.7,-14.0,-5.5,-3.4,45.3
crypto,LUNCUSDT,2026-04-06,4e-05,2.3,53.7,110.6,148.1,149.6,,,
crypto,MAGICUSDT,2025-07-28,0.1838,47.2,32.8,23.4,6.9,9.4,13.9,8.4,-4.3
crypto,MAGICUSDT,2025-09-29,0.1772,-29.5,-17.6,-16.5,-24.5,-25.5,-32.8,-41.5,-42.2
crypto,MANAUSDT,2023-10-23,0.3794,6.3,23.0,13.2,18.7,18.7,40.6,27.0,42.6
crypto,MANAUSDT,2024-11-04,0.3496,12.2,108.2,86.5,112.1,80.5,35.2,38.1,56.6
crypto,MANAUSDT,2025-07-07,0.3196,10.1,2.4,-13.0,-3.5,-7.4,-6.6,-10.0,0.9
crypto,MANAUSDT,2025-08-04,0.3084,-4.1,-3.2,-6.7,4.6,13.6,1.6,-5.3,8.0
crypto,MANTAUSDT,2026-05-04,0.07323,1.3,,,,,,,
crypto,MASKUSDT,2024-11-04,2.948,-2.2,12.6,29.8,45.3,24.8,2.1,0.8,8.5
crypto,MASKUSDT,2025-05-26,2.723,-36.6,-48.7,-57.6,-52.9,-54.8,-49.4,-42.7,-47.9
crypto,MAVUSDT,2025-08-18,0.06014,20.4,31.9,22.7,23.8,-2.9,-5.5,-28.4,-33.2
crypto,MEMEUSDT,2025-09-29,0.002421,-24.9,-29.7,-28.6,-36.2,-32.0,-41.6,-48.2,-47.4
crypto,NEARUSDT,2023-11-13,1.984,-8.0,-0.2,26.9,14.2,91.2,84.0,61.7,66.5
crypto,NEARUSDT,2025-07-21,2.962,-17.5,-7.1,-8.8,-10.3,-20.1,-16.8,-8.6,5.6
crypto,NEARUSDT,2025-08-18,2.656,-10.9,-7.3,1.9,17.8,5.4,11.3,-7.6,-15.1
crypto,NEARUSDT,2025-11-03,3.074,-25.6,-40.8,-41.3,-44.7,-48.3,-50.9,-48.6,-43.8
crypto,NEARUSDT,2026-05-04,1.5638,-0.7,,,,,,,
crypto,NEOUSDT,2025-08-18,7.745,-13.8,-14.2,-13.1,-16.4,-24.7,-19.7,-33.9,-33.4
