eval_date,bucket,Symbol,Name,tf,angle_deg,residence_20,next_ret_pct
2026-05-19,A,126720,수산인더스트리,1W,1.170780408597368,0.95,-4.991394148020654
2026-05-19,A,015360,INVENI,1W,0.5982319926140404,1.0,-2.4803387779794317
2026-05-19,B,018260,삼성에스디에스,1M,0.3905103831399982,0.6,-3.625730994152047
2026-05-19,B,016360,삼성증권,1W,1.2251192384044296,1.0,-1.572052401746725
2026-05-19,B,003240,태광산업,1M,1.9077363352195302,0.8,-2.5150905432595576
2026-05-19,B,007340,DN오토모티브,1W,2.1090021573969038,0.9,-3.257328990228013
2026-05-19,A,071050,한국금융지주,1W,1.2033569232362815,1.0,-0.641025641025641
2026-05-19,B,086280,현대글로비스,1M,2.647735680780366,1.0,-1.6355140186915886
2026-05-19,A,025000,KPX케미칼,1W,0.23102084798422828,0.85,-2.127659574468085
2026-05-19,B,000100,유한양행,1Q,2.0019677735750525,1.0,0.2460024600246002
2026-05-19,A,021050,서원,1W,1.024420852699111,0.95,-1.3783597518952446
2026-05-19,A,194370,제이에스코퍼레이션,1M,1.356604493983319,0.75,-2.902155887230514
2026-05-19,B,014440,영보화학,1M,0.8491007048422318,0.9,-0.641025641025641
2026-05-19,A,020150,롯데에너지머티리얼즈,1W,2.230160373513667,0.95,-4.609929078014184
2026-05-19,A,278470,에이피알,1W,1.77312033537806,0.95,-1.8867924528301887
2026-05-19,B,460860,동국제강,1W,1.5215067188798195,0.8,-4.717775905644482
2026-05-19,A,089860,롯데렌탈,1M,0.17702233253726773,0.8,0.1592356687898089
2026-05-19,B,010820,퍼스텍,1W,4.129428004371511,0.9,-2.760463045414069
2026-05-19,A,241560,두산밥캣,1W,0.5995688948129589,0.85,-4.613095238095238
2026-05-19,A,403550,쏘카,1W,0.697910385846761,0.6,-6.909361069836553
2026-05-19,A,034220,LG디스플레이,1W,0.13138100962973287,0.45,-1.1801730920535012
2026-05-19,B,005090,SGC에너지,1W,2.5056937189775073,0.8,-2.842639593908629
2026-05-19,A,002310,아세아제지,1Q,0.10655284810893627,0.6,-0.3676470588235294
2026-05-19,A,100090,SK오션플랜트,1M,1.2837986712494414,0.75,-3.4896401308615053
2026-05-19,B,013580,계룡건설,1M,1.9197292054331971,0.7,-4.310344827586207
2026-05-19,A,002710,TCC스틸,1W,0.4916474060482611,0.4,-6.666666666666667
2026-05-19,A,004440,삼일씨엔에스,1M,1.8238184028865936,0.65,-1.3157894736842104
2026-05-19,A,000725,현대건설우,1M,1.1226586519284607,0.7,-3.870967741935484
2026-05-19,B,021820,세원정공,1M,1.902585856269664,0.85,-5.191873589164786
2026-05-19,A,462520,조선내화,1W,0.033346961385309015,0.4,-1.3249651324965133
2026-05-19,B,003300,한일홀딩스,1W,0.07472103113223612,0.65,-2.87221570926143
2026-05-19,B,030200,KT,1M,1.2803732817561897,1.0,-0.7117437722419928
2026-05-19,A,096770,SK이노베이션,1M,0.3451604610215315,0.35,-3.428093645484949
2026-05-19,B,058650,세아홀딩스,1M,1.3614984540353146,0.6,10.889679715302492
2026-05-19,A,130660,한전산업,1M,1.2048460428560523,0.8,-4.453176162409954
2026-05-19,A,000157,두산2우B,1W,0.6085460503726922,0.65,-3.2
2026-05-20,B,008350,남선알미늄,1W,1.6717404920722938,1.0,-2.335329341317365
2026-05-20,B,001060,JW중외제약,1M,0.20859881869617067,0.35,1.2345679012345678
2026-05-20,A,004020,현대제철,1M,1.0375347367854122,0.6,7.6923076923076925
2026-05-20,A,077500,유니퀘스트,1M,0.514724891331248,0.6,7.038123167155426
2026-05-20,B,37550L,DL이앤씨2우(전환),1W,1.7110508370238953,1.0,9.090909090909092
2026-05-20,A,069730,DSR제강,1W,1.0692548418734258,0.9,1.1299435028248588
2026-05-20,B,066970,엘앤에프,1W,1.553503308536853,0.85,4.444444444444445
2026-05-20,B,007690,국도화학,1M,0.15470375387657054,0.4,1.4450867052023122
2026-05-20,A,002240,고려제강,1M,0.5293370913525671,0.35,-0.2380952380952381
2026-05-20,A,002025,코오롱우,1W,0.4581472672583374,0.9,2.1922428330522767
2026-05-20,B,204320,HL만도,1M,1.2779330156337805,0.55,14.82889733840304
