symbol,last_close,today_chg,today_amount,vol_ratio_1d,ch_score,ret_30d,ret_90d,from_high_1y,has_1h,ch_pct,거래대금,today_chg_str,vol_x
TRBUSDT,17.574,0.01349480968858141,83773.5006,0.22008671607756333,5.0,-0.04150531769839105,0.26150312253248176,-0.5353375109066392,True,4.3,$84K,1.35%,0.2
XAGUSDT,77.71,-0.006900958466453777,118976251.1564,0.6994474299898897,5.0,0.025739176346356807,-0.10934097421203448,,True,4.3,$119.0M,-0.69%,0.7
STXUSDT,0.2476,0.015170151701517032,411088.76963999995,0.2868000190601881,5.0,0.08978873239436602,0.045608108108108114,-0.6416787264833574,True,4.3,$411K,1.52%,0.3
SQDUSDT,0.03922,0.05600430802369405,458668.76174,1.1407530292473542,4.0,0.2348866498740554,0.0020439448134899063,-0.830948275862069,True,3.5,$459K,5.6%,1.1
XMRUSDT,385.85,-0.018518047465215015,2575432.995,0.7728379537804763,4.0,0.03494984174668758,0.20008086588703677,,True,3.5,$2.6M,-1.85%,0.8
NOTUSDT,0.0004831,0.07594654788418698,1050047.831186,0.33368506153002564,3.0,0.1722882795438001,0.34944134078212286,-0.750979381443299,True,2.6,$1.1M,7.59%,0.3
SUSDT,0.04604,0.016335540838852136,167450.56467999998,0.1522063310519746,1.0,-0.0015181088700932932,0.18021020251217612,-0.8517707662588538,True,0.9,$167K,1.63%,0.2
PUMPUSDT,0.001788,0.02995391705069128,2922511.843752,0.5859951979659078,1.0,0.021714285714285797,0.05736250739207582,-0.7815516188149053,True,0.9,$2.9M,3.0%,0.6
KNCUSDT,0.1479,0.029944289693593307,274896.52392,0.7146498790422463,1.0,0.03716690042075732,0.14296754250386412,-0.6161432649883207,True,0.9,$275K,2.99%,0.7
NEIROCTOUSDT,9.37e-05,0.0010683760683760646,395780.7609148,1.3391044889702288,1.0,0.0611551528878822,0.4154078549848943,-0.7507978723404255,True,0.9,$396K,0.11%,1.3
PENGUUSDT,0.008819,-0.013865593201386472,3404561.571577,0.3569183629840645,1.0,0.023917334262161694,0.3702610316967061,-0.7684694145444999,True,0.9,$3.4M,-1.39%,0.4
MMTUSDT,0.1288,0.028753993610223683,106742.7424,0.34609464089895536,1.0,-0.05779078273591798,0.08235294117647052,,True,0.9,$107K,2.88%,0.3
SAHARAUSDT,0.03484,0.016336056009335076,2687749.3245200003,0.35563597588074325,1.0,0.485080988917306,1.3895747599451305,-0.6035954033450903,True,0.9,$2.7M,1.63%,0.4
ARUSDT,2.118,0.031158714703018564,701733.8537999999,0.5999706913195195,1.0,0.0878274268104775,0.14362850971922225,-0.7322715206674251,True,0.9,$702K,3.12%,0.6
