Date,삼성주가,삼성시총_조,삼성TTM순이익_조,삼성PER,하이닉스주가,하이닉스시총_조,하이닉스TTM순이익_조,하이닉스PER
2019-06-14,44000,262.6704322,37.3865,7.025809642518022,63100,45.9369492315,13.5226,3.3970500666661736
2019-06-17,43900,262.073453945,37.3865,7.0098418933304805,63700,46.3737506505,13.5226,3.429351652086137
2019-06-18,44350,264.7598560925,37.3865,7.081696764674415,63400,46.155349941,13.5226,3.413200859376155
2019-06-19,45350,270.7296386425,37.3865,7.2413742565498245,67200,48.921758928,13.5226,3.617777567035925
2019-06-20,45500,271.625106025,37.3865,7.265325880331136,67300,48.9945591645,13.5226,3.6231611646059187
2019-06-21,45700,272.819062535,37.3865,7.297261378706218,65900,47.9753558535,13.5226,3.5477907986260035
2019-06-24,45500,271.625106025,37.3865,7.265325880331136,66900,48.7033582185,13.5226,3.601626774325943
2019-06-25,45600,272.22208428,37.3865,7.281293629518677,66700,48.5577577455,13.5226,3.590859579185955
2019-06-26,45700,272.819062535,37.3865,7.297261378706218,68900,50.1593629485,13.5226,3.7092987257258216
2019-06-27,46500,277.594888575,37.3865,7.425003372206546,70200,51.105766023,13.5226,3.779285494135743
2019-06-28,47000,280.57977985,37.3865,7.504842118144251,69500,50.5961643675,13.5226,3.7416003111457856
2019-07-01,46600,278.19186683,37.3865,7.440971121394086,70000,50.96016555,13.5226,3.768518298995755
2019-07-02,46250,276.1024429375,37.3865,7.385083999237692,71400,51.979368861,13.5226,3.84388866497567
2019-07-03,45400,271.02812777,37.3865,7.2493581311435955,69100,50.3049634215,13.5226,3.7200659208658093
2019-07-04,46000,274.6099973,37.3865,7.34516462626884,70200,51.105766023,13.5226,3.779285494135743
2019-07-05,45650,272.5205734075,37.3865,7.289277504112448,68400,49.795361766,13.5226,3.682380737875852
2019-07-08,44400,265.05834522,37.3865,7.089680639268185,67400,49.067359401,13.5226,3.6285447621759124
2019-07-09,45100,269.237193005,37.3865,7.201454883580972,69800,50.814565077,13.5226,3.757751103855767
2019-07-10,45550,271.9235951525,37.3865,7.273309754924907,72900,53.0713724085,13.5226,3.924642628525579
2019-07-11,46200,275.80395381,37.3865,7.377100124643922,75500,54.9641785575,13.5226,4.064616165345422
2019-07-12,46300,276.400932065,37.3865,7.3930678738314635,74700,54.3817766655,13.5226,4.02154738478547
2019-07-15,46450,277.2963994475,37.3865,7.417019497612775,76200,55.473780213,13.5226,4.102301348335379
2019-07-16,46850,279.6843124675,37.3865,7.480890494362939,76100,55.4009799765,13.5226,4.096917750765385
2019-07-17,46050,274.9084864275,37.3865,7.353148500862612,74600,54.308976429,13.5226,4.016163787215476
2019-07-18,46100,275.206975555,37.3865,7.361132375456381,74700,54.3817766655,13.5226,4.02154738478547
2019-07-19,46800,279.38582334,37.3865,7.4729066197691685,76800,55.910581632,13.5226,4.134602933755343
2019-07-22,47200,281.77373636,37.3865,7.536777616519332,78400,57.075385416,13.5226,4.220740494875246
2019-07-23,47300,282.370714615,37.3865,7.5527453657068735,78800,57.366586362,13.5226,4.242274885155221
2019-07-24,46400,276.99791032,37.3865,7.409035623019005,77600,56.492983524,13.5226,4.177671714315294
2019-07-25,47200,281.77373636,37.3865,7.536777616519332,79200,57.657787308,13.5226,4.2638092754351975
2019-07-26,47150,281.4752472325,37.3865,7.528793741925562,79800,58.094588727,13.5226,4.296110860855161
2019-07-29,46100,275.206975555,37.3865,7.361132375456381,77000,56.056182105,13.5226,4.145370128895331
2019-07-30,46550,277.8933777025,37.3865,7.432987246800316,78900,57.4393865985,13.5226,4.247658482725216
2019-07-31,45350,270.7296386425,37.3865,7.2413742565498245,76900,55.9833818685,13.5226,4.139986531325336
2019-08-01,45200,269.83417126,37.3865,7.217422632768513,77700,56.5657837605,13.5226,4.183055311885288
2019-08-02,44950,268.3417256225,37.3865,7.177503259799661,76100,55.4009799765,13.5226,4.096917750765385
2019-08-05,43950,262.3719430725,37.3865,7.0178257679242515,75400,54.891378321,13.5226,4.059232567775427
2019-08-06,43500,259.685540925,37.3865,6.945970896580317,72000,52.41617028,13.5226,3.876190250395634
2019-08-07,43200,257.89460616,37.3865,6.898067649017695,73300,53.3625733545,13.5226,3.946177018805555
2019-08-08,42650,254.6112257575,37.3865,6.810245028486219,72300,52.6345709895,13.5226,3.8923410431056156
2019-08-09,43150,257.5961170325,37.3865,6.890083774423923,73300,53.3625733545,13.5226,3.946177018805555
2019-08-12,43700,260.879497435,37.3865,6.977906394955399,74500,54.2361761925,13.5226,4.010780189645482
2019-08-13,43000,256.70064965,37.3865,6.866132150642612,74500,54.2361761925,13.5226,4.010780189645482
2019-08-14,43700,260.879497435,37.3865,6.977906394955399,76900,55.9833818685,13.5226,4.139986531325336
2019-08-16,43900,262.073453945,31.4695,8.327855668027773,76400,55.619380686,9.7282,5.717335240435024
2019-08-19,43600,260.28251918,31.4695,8.27094549261984,75100,54.6729776115,9.7282,5.620050740270554
2019-08-20,44450,265.3568343475,31.4695,8.432190989608987,76400,55.619380686,9.7282,5.717335240435024
2019-08-21,44500,265.655323475,31.4695,8.441676018843642,75800,55.182579267,9.7282,5.6724347018975765
2019-08-22,44050,262.9689213275,31.4695,8.35631075573174,73800,53.726574537,9.7282,5.522766240106083
2019-08-23,43950,262.3719430725,31.4695,8.337340697262428,74400,54.163375956,9.7282,5.567666778643532
2019-08-26,43600,260.28251918,31.4695,8.27094549261984,71800,52.270569807,9.7282,5.373097778314591
2019-08-27,44050,262.9689213275,31.4695,8.35631075573174,73000,53.144172645,9.7282,5.462898855389486
